,동,위도,경도,관할구역,id,전체인구,65세이상 인구,주택수,가장_가까운_비상소화장치_거리,가장_가까운_소방서_거리,가장_가까운_화재_거리,200m_내_좁은도로_수,200m_내_도로폭_점수_평균,클러스터,우선순위
0,잠실동,37.5085071,127.0825862,잠실 안전센터,1,1.0,1.0,1.0,0.056290007068977105,0.1968256420157836,0.05093710217743103,0.2857142857142857,0.16666666666666666,2,1
1,잠실동,37.50511389,127.0817572,잠실 안전센터,2,1.0,1.0,1.0,0.34790457671974684,0.4378182500297496,0.09120510231738246,0.14285714285714285,0.16666666666666666,2,1
2,삼전동,37.50231025,127.0901942,잠실 안전센터,3,0.0,0.0,0.06679349525695821,0.7202183258271126,0.8552337900736556,0.07115384507650963,0.14285714285714285,0.8333333333333333,0,4
3,삼전동,37.50094046,127.0936817,잠실 안전센터,4,0.0,0.0,0.06679349525695821,0.9801566274516265,0.9133154102677633,0.3200442209942945,0.2857142857142857,0.9166666666666666,0,4
4,삼전동,37.504103,127.090679,잠실 안전센터,5,0.0,0.0,0.06679349525695821,0.5716627353415548,0.8128622785667488,0.190425277065321,0.0,0.0,0,4
5,석촌동,37.49991962,127.0974103,잠실 안전센터,6,0.016341912403181502,0.03127659574468086,0.08227353278432187,0.6511407847797217,0.8001078982693072,0.22958066915878939,0.0,0.0,0,4
6,석촌동,37.50097974,127.1000492,잠실 안전센터,7,0.016341912403181502,0.03127659574468086,0.08227353278432187,0.4304857718545039,0.7047918518312819,0.026904268630073426,0.14285714285714285,1.0,0,4
7,송파동,37.50884075,127.1087034,종합운동장 안전센터,8,0.11181445590635958,0.13499999999999998,0.18200771395809445,0.45492962989483543,0.9004384984447841,0.2002911680318252,0.0,0.0,0,4
8,방이동,37.51174,127.110053,방이 안전센터,9,0.10952207286999405,0.10207446808510637,0.10948087146877933,0.7519415163723261,0.9999999999999999,0.061935372168397916,0.0,0.0,0,4
9,방이동,37.51299316,127.1161285,방이 안전센터,10,0.10952207286999405,0.10207446808510637,0.10948087146877933,1.0,0.740008195497614,0.0211698355145526,0.0,0.0,0,4
10,가락동,37.499,127.120611,가락 안전센터,11,0.47842207634330175,0.4619148936170213,0.5112060877723339,0.6629221324242952,0.8548036868524248,0.09523563214055683,0.14285714285714285,0.16666666666666666,3,2
11,가락동,37.496917,127.120417,가락 안전센터,12,0.47842207634330175,0.4619148936170213,0.5112060877723339,0.7632931703492536,0.7836896532674428,0.0,0.14285714285714285,0.16666666666666666,3,2
12,송파동,37.500694,127.112639,가락 안전센터,13,0.11181445590635958,0.13499999999999998,0.18200771395809445,0.0,0.38866974438912716,0.1933989599450948,1.0,0.38095238095238093,1,3
13,마천동,37.492321,127.154682,거여 안전센터,14,0.05582473689694695,0.2393617021276596,0.044798290420097975,0.09919928073378326,0.4691524079637537,0.3790286248799346,1.0,0.4285714285714286,1,3
14,마천동,37.499138,127.149098,거여 안전센터,15,0.05582473689694695,0.2393617021276596,0.044798290420097975,0.01324798545308667,0.3199792265517152,0.793327420729863,0.42857142857142855,0.4444444444444444,0,4
15,거여동,37.493358,127.142836,거여 안전센터,16,0.05472196172414989,0.15058510638297876,0.0,0.5882606204199372,0.26201117690968234,0.9986136404556067,0.14285714285714285,0.6666666666666666,0,4
16,거여동,37.497698,127.143332,거여 안전센터,17,0.05472196172414989,0.15058510638297876,0.0,0.4608188235609145,0.0,1.0,1.0,0.47619047619047616,1,3
17,오금동,37.503962,127.140793,서울 송파 소방서,18,0.22607759369247332,0.3255319148936171,0.24945272594600226,0.6274602916610712,0.17327345263493807,0.6833691653086744,0.8571428571428571,0.8611111111111112,1,3
18,오금동,37.502313,127.134786,서울 송파 소방서,19,0.22607759369247332,0.3255319148936171,0.24945272594600226,0.07682133349331571,0.7003150166847855,0.0008327024840605185,0.0,0.0,0,4
