,서ㆍ센터명,유형구분명,위도,경도,구,동
82,장안119안전센터,안전센터,37.56406830535896,127.0667189881992,동대문구,장안동
83,전농119안전센터,안전센터,37.57632064256975,127.04599031702423,동대문구,전농동
84,돈암119안전센터,안전센터,37.5909688705381,127.01444245279356,성북구,삼선동4가
85,구조대,구조대,37.56393997134395,127.0666022629457,동대문구,장안동
86,중부소방서,소방서,37.56486868517291,127.0153975260016,중구,무학동
87,무학119안전센터,안전센터,37.564799912111226,127.0153887777328,중구,무학동
88,구조대,구조대,37.56494357513382,127.01540039235402,중구,무학동
89,을지로119안전센터,안전센터,37.566718432293065,127.01208545095317,중구,신당동
90,신당119안전센터,안전센터,37.55292948098462,127.00963769879128,중구,신당동
91,천호119안전센터,안전센터,37.538603664029566,127.13137634247953,강동구,천호동
92,수락119안전센터,안전센터,37.67969957056904,127.05573948279776,노원구,상계동
93,공릉119안전센터,안전센터,37.619076517973085,127.08072579581167,노원구,공릉동
94,종암119안전센터,안전센터,37.60252104522968,127.03161749763925,성북구,종암동
95,구조대,구조대,37.60235262660099,127.03189973651786,성북구,종암동
96,성북소방서,소방서,37.60243595850056,127.03175544581482,성북구,종암동
97,청량리119안전센터,안전센터,37.58714471938664,127.05237493616076,동대문구,청량리동
98,삼각산119안전센터,안전센터,37.61986470893407,127.01546452694042,강북구,미아동
99,개화119안전센터,안전센터,37.57504972134618,126.8030973714628,강서구,개화동
100,119구조대,구조대,37.57181992441326,126.93457583809716,서대문구,연희동
101,서대문소방서,소방서,37.573263792997466,126.93590337976728,서대문구,연희동
102,용산소방서,소방서,37.53407956990786,126.97152835965024,용산구,한강로2가
103,한강로119안전센터,안전센터,37.53400627383394,126.9714405095152,용산구,한강로2가
104,구조대,구조대,37.53415516527232,126.97163530809632,용산구,한강로2가
105,동작소방서,소방서,37.49462419197727,126.91767778359608,동작구,신대방동
106,동작119안전센터,안전센터,37.49462172107573,126.91753380499628,동작구,신대방동
107,구조대,구조대,37.494625050984105,126.9178080615148,동작구,신대방동
108,종합운동장119안전센터,안전센터,37.514215107933374,127.07098396903228,송파구,잠실동
109,휘경119안전센터,안전센터,37.59066989174759,127.06513749036542,동대문구,휘경동
110,신트리119안전센터,안전센터,37.51064938368447,126.8479846992579,양천구,신정동
111,상암119안전센터,안전센터,37.57991197321592,126.88124996468268,마포구,상암동
112,이촌119안전센터,안전센터,37.53004134743279,126.95338543557548,용산구,이촌동
113,양천소방서,소방서,37.53016108016855,126.87225841263016,양천구,목동
114,북한산산악구조대,구조대,37.64048547628041,126.94328844715857,은평구,진관동
115,반포수난구조대,구조대,37.50628439884829,126.97936260833832,동작구,동작동
116,도봉산산악구조대,구조대,37.68851716432322,127.03485208497766,도봉구,도봉동
117,관악산산악구조대,구조대,37.45727818561336,126.94495208852057,관악구,신림동
118,성수119안전센터,안전센터,37.537185822226455,127.06067404708332,성동구,성수동2가
119,중곡119안전센터,안전센터,37.56694832803598,127.08663866528852,광진구,중곡동
120,왕십리119안전센터,안전센터,37.5620360927537,127.035494934241,성동구,도선동
121,금호119안전센터,안전센터,37.55405368061529,127.0243497206924,성동구,금호동1가
122,구조대,구조대,37.55377144761126,127.03959179705744,성동구,행당동
123,행당119안전센터,안전센터,37.55360988687784,127.0393695889775,성동구,행당동
124,성동소방서,소방서,37.55366493081655,127.03950980961184,성동구,행당동
125,능동119안전센터,안전센터,37.55166132184341,127.07695350061286,광진구,능동
126,뚝섬수난구조대,구조대,37.53131287147388,127.0605892184194,광진구,자양동
127,광진소방서,소방서,37.54483227714793,127.0827510244038,광진구,구의동
128,구조대,구조대,37.54481665481214,127.08281909283806,광진구,구의동
129,구의119안전센터,안전센터,37.5448528440841,127.08267104963758,광진구,구의동
130,세곡119안전센터,안전센터,37.47044559681554,127.10724715218636,강남구,율현동
131,본부현장대응단,특수대응단,37.55886341701059,126.98915707753028,중구,예장동
132,마곡119안전센터,안전센터,37.55593468873997,126.82071566124694,강서구,마곡동
133,강일119안전센터,안전센터,37.55734332385741,127.17967995798972,강동구,상일동
134,광나루수난구조대,구조대,37.544924603192136,127.11768655501112,강동구,천호동
135,쌍문119안전센터,안전센터,37.64820305473068,127.02683252925124,도봉구,쌍문동
136,강북소방서,소방서,37.633045060546,127.03820322257828,강북구,번동
137,번동119안전센터,안전센터,37.63309392215076,127.03816818467236,강북구,번동
138,구조대,구조대,37.63299586445476,127.03824407904382,강북구,번동
139,공덕119안전센터,안전센터,37.550066137792456,126.95976727307529,마포구,공덕동
140,종로119안전센터,안전센터,37.57124317091771,126.9922443579131,종로구,묘동
141,종로소방서,소방서,37.572862521715386,126.9789059396841,종로구,수송동
142,세종로119안전센터,안전센터,37.57291700794306,126.97892308540403,종로구,수송동
143,녹번119안전센터,안전센터,37.60112134136961,126.93492604919383,은평구,녹번동
144,119구조대,구조대,37.62883213270846,126.91979444713718,은평구,진관동
145,봉천119안전센터,안전센터,37.48598184080317,126.941478071509,관악구,봉천동
146,가락119안전센터,안전센터,37.496475787137605,127.11347186232616,송파구,가락동
147,염리119안전센터,안전센터,37.541697174842255,126.94554623823308,마포구,염리동
148,공단119안전센터,안전센터,37.484220908396566,126.89848178527554,구로구,구로동
149,영등포소방서,소방서,37.51849012968184,126.90415375137763,영등포구,영등포동4가
150,영등포119안전센터,안전센터,37.518369966303,126.90418013697293,영등포구,영등포동4가
151,구조대,구조대,37.5184090223658,126.90421048166596,영등포구,영등포동4가
152,강남소방서,소방서,37.51028613071309,127.06678384111106,강남구,삼성동
153,구조대,구조대,37.51024567714753,127.0667163009849,강남구,삼성동
154,삼성119안전센터,안전센터,37.51031312909183,127.06691954611392,강남구,삼성동
155,발산119안전센터,안전센터,37.55525057962739,126.83690063188509,강서구,내발산동
156,당산119안전센터,안전센터,37.53549705844098,126.8992136434846,영등포구,당산동6가
157,서초119안전센터,안전센터,37.4880588797924,127.02757971438729,서초구,서초동
158,연희119안전센터,안전센터,37.57315364677712,126.93598031639716,서대문구,연희동
159,성산119안전센터,안전센터,37.570601742554416,126.90310683285448,마포구,성산동
160,강동소방서,소방서,37.52927324594378,127.12493914857306,강동구,성내동
161,면목119안전센터,안전센터,37.57284913812282,127.0798678173398,중랑구,면목동
162,망우119안전센터,안전센터,37.59782237200915,127.10057408102236,중랑구,망우동
163,거여119안전센터,안전센터,37.4941123958105,127.15179561062251,송파구,마천동
164,성내119안전센터,안전센터,37.52929496102048,127.12488013422816,강동구,성내동
165,고덕119안전센터,안전센터,37.55716387845885,127.15203657327989,강동구,고덕동
166,암사119안전센터,안전센터,37.55398134405301,127.12864457825287,강동구,암사동
167,구조대,구조대,37.52924251300478,127.12501405644537,강동구,성내동
168,도봉119안전센터,안전센터,37.68756963621093,127.0409075691132,도봉구,도봉동
169,중화119안전센터,안전센터,37.60047584384066,127.07931888038712,중랑구,중화동
170,길음119안전센터,안전센터,37.60283659233395,127.0191388084866,성북구,길음동
171,장위119안전센터,안전센터,37.615610782245646,127.05822114280576,성북구,장위동
172,우이119안전센터,안전센터,37.64089358516673,127.01656421218328,강북구,수유동
173,미아119안전센터,안전센터,37.620026120105074,127.02832598654412,강북구,미아동
174,노원소방서,소방서,37.6381171285008,127.07113692481823,노원구,하계동
175,도봉소방서,소방서,37.66403874179807,127.0430390312734,도봉구,방학동
176,상계119안전센터,안전센터,37.65504621702187,127.0716643111218,노원구,상계동
