,서ㆍ센터명,유형구분명,위도,경도
158,연희119안전센터,안전센터,37.573153646777115,126.93598031639715
159,성산119안전센터,안전센터,37.570601742554416,126.90310683285449
160,강동소방서,소방서,37.529273245943784,127.12493914857306
161,면목119안전센터,안전센터,37.57284913812282,127.0798678173398
162,망우119안전센터,안전센터,37.59782237200915,127.10057408102236
163,거여119안전센터,안전센터,37.494112395810504,127.15179561062251
164,성내119안전센터,안전센터,37.52929496102048,127.12488013422815
165,고덕119안전센터,안전센터,37.55716387845885,127.15203657327989
166,암사119안전센터,안전센터,37.55398134405301,127.12864457825287
167,구조대,구조대,37.52924251300478,127.12501405644537
168,도봉119안전센터,안전센터,37.687569636210924,127.0409075691132
169,중화119안전센터,안전센터,37.60047584384066,127.07931888038713
170,길음119안전센터,안전센터,37.60283659233395,127.01913880848659
171,장위119안전센터,안전센터,37.615610782245646,127.05822114280576
172,우이119안전센터,안전센터,37.64089358516673,127.01656421218328
173,미아119안전센터,안전센터,37.620026120105074,127.02832598654412
174,노원소방서,소방서,37.6381171285008,127.07113692481823
175,도봉소방서,소방서,37.66403874179807,127.0430390312734
176,상계119안전센터,안전센터,37.65504621702187,127.07166431112181
