연번,비상소화장치일련번호,비상소화장치고유번호,geometry
293,110081983,000042,POINT (126.85174484269608 37.4915245847879)
294,110081985,000047,POINT (126.88737242854934 37.48818708017596)
295,110081986,000046,POINT (126.88100603620776 37.496717359657254)
296,110081987,000051,POINT (126.88721783915054 37.489127792026125)
297,110081992,000031,POINT (126.88622936997021 37.48937513562097)
298,110081993,000032,POINT (126.88813784482616 37.4887926995057)
299,110081994,000033,POINT (126.90033804710124 37.473546399973706)
300,110081996,000025,POINT (126.88769711674607 37.483574472555524)
301,110081998,000026,POINT (126.88894060153312 37.48566162426481)
302,110082002,000043,POINT (126.90091281059753 37.47617155981055)
303,110082003,000054,POINT (126.90461327280322 37.47049787999186)
304,110082007,000057,POINT (126.85309494575345 37.501941454639635)
305,110082009,000045,POINT (126.88779196827724 37.49259903009593)
306,110082011,000063,POINT (126.91272339848268 37.461571533275624)
307,110082012,000061,POINT (126.90113434957792 37.47474971977784)
308,110082013,000062,POINT (126.89624485097957 37.46439651485332)
309,110082014,000071,POINT (126.89061373351407 37.49188778634825)
310,110082015,000075,POINT (126.86640323594548 37.50246166439457)
311,110082017,000072,POINT (126.88270812115684 37.4888977117436)
312,110082021,000065,POINT (126.9003758448457 37.46007038111004)
313,110082022,000068,POINT (126.90079925952315 37.462925219446745)
314,110082024,000066,POINT (126.9121877938943 37.45376790813724)
315,110081912,431,POINT (127.01715235018423 37.62169456294706)
316,110081913,304,POINT (127.02430279268374 37.61998672576123)
317,110081914,317,POINT (127.03203947517589 37.619317481720664)
318,110081915,324,POINT (127.03204231590986 37.62609451413664)
319,110081917,80,POINT (127.03751977662466 37.66793837317789)
320,110081918,91,POINT (127.0446702242974 37.68341109973188)
321,110081920,96,POINT (127.04599044861261 37.673722601635006)
322,110081921,103,POINT (127.04491711310975 37.67515854551319)
323,110081922,106,POINT (127.0407809986394 37.68971650365137)
324,110081923,107,POINT (127.03399809616215 37.66522452257602)
325,110081926,432,POINT (127.015670468831 37.63014557905449)
326,110082368,000005,POINT (126.95335036982806 37.5002830267652)
327,110082383,000030,POINT (126.93600679344712 37.50903243287821)
328,110082369,000003,POINT (126.92419179312469 37.48366045694725)
329,110082370,000029,POINT (126.93916278951501 37.4891113468112)
330,110082385,000033,POINT (126.95608659143095 37.511134569853056)
331,110082386,000034,POINT (126.96951036060891 37.48187664537883)
332,110082387,000035,POINT (126.96943427649416 37.48710300072782)
333,110082388,000038,POINT (126.97704513731708 37.493236362005476)
334,110082389,000041,POINT (126.94833703976063 37.48787571330611)
335,110081234,000062,POINT (126.99595567160142 37.5230031065763)
336,110081236,000072,POINT (126.98681145275378 37.5456682716757)
337,110081237,000074,POINT (126.95984188596327 37.53580643103963)
338,110081238,000075,POINT (126.97447647655743 37.54668521755154)
339,110081240,000077,POINT (126.98452490276853 37.541606151268915)
340,110081241,000078,POINT (127.00203224525895 37.528234090018636)
341,110081244,000081,POINT (126.96343030754525 37.551752158473505)
342,110081245,000082,POINT (126.9667581784652 37.52734129785781)
343,110081246,000083,POINT (126.97506322782247 37.55255498537426)
344,110081247,000084,POINT (127.00238594449063 37.53053902918212)
345,110081248,000085,POINT (126.99750624326829 37.52656953622255)
346,110081249,000086,POINT (126.98367208454714 37.54783000368743)
347,110081252,000089,POINT (126.9745197022746 37.53679529103516)
348,110081254,000091,POINT (126.99734187456558 37.52736180541586)
349,110081255,000092,POINT (126.97544582750287 37.55283875713431)
350,110081256,000093,POINT (126.98317362041794 37.545690607058816)
351,110081258,000097,POINT (126.98521461972886 37.54433523587164)
352,110081259,000095,POINT (126.99987528376151 37.53241557125703)
353,110081262,000103,POINT (127.00526633844412 37.5293913875901)
354,110081263,000106,POINT (126.96659188155037 37.55279947692493)
355,110081264,000109,POINT (126.96688307668256 37.548301811806674)
356,110081265,000110,POINT (126.99432270791219 37.54090895851358)
357,110081266,000099,POINT (127.00258849670104 37.53850393194263)
358,110081267,000100,POINT (126.98712748264025 37.5427912518424)
359,110081269,000102,POINT (126.98346115587282 37.543902369183684)
360,110081270,000104,POINT (126.99691618971421 37.524373580888934)
361,110081274,000133,POINT (126.99267943116195 37.535327402820194)
362,110081275,000134,POINT (126.96487285102114 37.522326886778345)
363,110081276,000135,POINT (126.96673178286136 37.5512554187835)
364,110081277,061,POINT (127.06158758530555 37.58752030700843)
365,110081278,062,POINT (127.0397180382143 37.588688252252226)
366,110081279,063,POINT (127.06281635326401 37.58627299364117)
367,110081281,065,POINT (127.04708370899931 37.58843547039595)
368,110081282,066,POINT (127.0474784263262 37.58796458282884)
369,110081283,067,POINT (127.03627502789692 37.58128403184041)
370,110081284,069(2642),POINT (127.06021427845081 37.57806296797859)
371,110081549,87,POINT (126.99471650896153 37.60919552563842)
372,110081533,168,POINT (127.01134420390642 37.613801393873835)
373,110081551,89,POINT (127.04321776750497 37.611633394251335)
374,110081535,171,POINT (127.00798201261753 37.60405786658598)
375,110081537,174,POINT (127.00307829982081 37.599560242836084)
376,110081538,175,POINT (127.03356246212999 37.60922660857658)
377,110081539,176,POINT (127.026922498098 37.6115486423997)
378,110081540,177,POINT (126.99873951360527 37.607338156448805)
379,110081541,178,POINT (127.0020306403552 37.615028938236634)
380,110081543,144,POINT (127.02268359737218 37.59399717602767)
381,110081544,151,POINT (127.04521332455565 37.61174384052837)
382,110081545,163,POINT (127.00190045565242 37.59117879422303)
383,110081547,170,POINT (127.00878652805883 37.60042664528539)
384,110081552,90,POINT (126.9992318809622 37.61555424269595)
385,110081553,91,POINT (127.00855069830251 37.59997259268341)
386,110081555,93,POINT (126.99324726464398 37.592106782626125)
387,110081556,94,POINT (127.02077038247863 37.596854327998955)
388,110081559,97,POINT (127.01594233351001 37.597397997802965)
389,110081560,98,POINT (127.00260633201974 37.5898734906141)
390,110081561,99,POINT (127.00762234612101 37.58632953310861)
391,110081346,000009,POINT (126.9133350725385 37.50639037309208)
392,110081928,210,POINT (127.01480071240366 37.63924423160811)
393,110081929,433,POINT (127.02268601919093 37.632483630914635)
394,110081931,218,POINT (127.0066168783459 37.64438692955475)
395,110081933,103,POINT (127.02653998194442 37.642506431074835)
396,110081934,205,POINT (127.02267474421755 37.64757931971509)
397,110081935,434,POINT (127.02348114455116 37.63102388417456)
398,110081937,102,POINT (127.02572554349894 37.641515795873964)
399,110081938,63,POINT (127.02211964320472 37.652595080254656)
400,110081939,310,POINT (127.0234556019444 37.613632050915925)
401,110081940,133,POINT (127.03489095105876 37.669083646733455)
402,110081941,101,POINT (127.0213441375788 37.6403131641204)
403,110081942,104,POINT (127.04464903603159 37.65565769586139)
404,110081946,000080,POINT (126.8900641652453 37.483452816183124)
405,110081947,000081,POINT (126.85083580391873 37.49052775154254)
406,110081948,000082,POINT (126.85018622252254 37.504578848289675)
407,110081949,000083,POINT (126.8829873783711 37.499248084288396)
408,110081950,000084,POINT (126.89051279310895 37.48183531659362)
409,110081951,000087,POINT (126.9071642507415 37.442587136529255)
410,110081953,000086,POINT (126.90448829506533 37.471584032451275)
411,110081954,000088,POINT (126.91216581094105 37.4529046613354)
412,110081955,000089,POINT (126.89354507026886 37.487558808417766)
413,110081956,000001,POINT (126.90726873497096 37.455634925495616)
414,110081959,000014,POINT (126.85088706687736 37.5048044786458)
415,110082372,000012,POINT (126.95815052133159 37.49111909196547)
416,110082367,000003,POINT (126.9538408660778 37.51069253430574)
417,110082374,000013,POINT (126.93534719154238 37.47916848127595)
418,110082376,000022,POINT (126.9591672193557 37.50885968674367)
419,110082377,000023,POINT (126.95593178348709 37.5129929727963)
420,110082379,000026,POINT (126.9597214561179 37.50713388062173)
421,110082380,000027,POINT (126.94205290421141 37.51125570786629)
422,110081502,76,POINT (127.00550151950196 37.593165251842564)
423,110081503,77,POINT (127.0512510939895 37.62017818449676)
424,110080020,212,POINT (127.00850262153963 37.591032247599216)
425,110080022,208,POINT (127.00880190966174 37.58253484077434)
426,110080023,213,POINT (127.02145575104679 37.59420055080453)
427,110080024,211,POINT (127.05170511667178 37.61583298719632)
428,110080025,204,POINT (126.99692526001871 37.6063959383364)
429,110080026,56,POINT (126.916858466325 37.58372489730957)
430,110080027,52,POINT (126.93116104746387 37.625885799680184)
431,110080430,91,POINT (126.96003916018067 37.560153874553166)
432,110081887,86,POINT (127.02095919622136 37.66165233141817)
433,110081888,76,POINT (127.03696519319277 37.65877669172835)
434,110081889,79,POINT (127.03577175534093 37.6529794712519)
435,110081890,77,POINT (127.03094753526327 37.65225303762692)
436,110081891,427,POINT (127.01139291453183 37.62502613357207)
437,110081892,107,POINT (127.03348876095833 37.6393719740788)
438,110082604,000095,POINT (126.95687221748004 37.510359853109065)
439,110082605,000203,POINT (126.94087744489273 37.50806944125947)
440,110082606,000204,POINT (126.96822338270634 37.50516472835316)
441,110081768,000068,POINT (126.96093385423313 37.54734043070515)
442,110081769,000069,POINT (126.92088891961465 37.56637924391514)
443,110081770,000070,POINT (126.90518908543217 37.55852591612143)
444,110082609,000207,POINT (126.98037589126437 37.49653403616791)
445,110081771,000071,POINT (126.95698816711419 37.54353936473058)
446,110081772,000072,POINT (126.90458514142635 37.549829778261795)
447,110081775,000076,POINT (126.92295787706715 37.55226848201172)
448,110081776,000077,POINT (126.93090499325723 37.5556614958151)
449,110081778,000080,POINT (126.9161760875657 37.54639575203548)
450,110081779,000081,POINT (126.92943923416998 37.5534454959725)
451,110080445,5-12,POINT (126.963943916517 37.59092135018011)
452,110080250,000064,POINT (127.1052850714842 37.46368414077019)
453,110080259,000073,POINT (127.10297483743128 37.48269726660359)
454,110080262,000076,POINT (127.10453550464513 37.47005275967923)
455,110080263,000077,POINT (127.10970390096762 37.46726635035852)
456,110080265,000080,POINT (127.06202042186374 37.51849919249502)
457,110080266,000081,POINT (127.0608936076891 37.51707153576727)
458,110080267,000009,POINT (127.02379329094624 37.509564817959614)
459,110080318,000027,POINT (127.02266303461813 37.473779892409446)
460,110080319,000029,POINT (127.00402518149261 37.47858601376111)
461,110080321,000031,POINT (127.0201375865975 37.50671853147923)
462,110080324,000033,POINT (126.99961010225995 37.49418415859587)
463,110080325,000034,POINT (126.99999802086076 37.4937087518487)
464,110080327,000036,POINT (126.9912554635979 37.46448985285855)
465,110080328,000037,POINT (126.98494874319812 37.47308140589897)
